age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
45;management;married;tertiary;no;5450;no;no;cellular;8;aug;188;2;-1;0;unknown;no
42;management;single;tertiary;no;196;yes;no;unknown;12;may;325;3;-1;0;unknown;no
59;blue-collar;married;primary;no;1939;no;no;cellular;23;apr;172;1;-1;0;unknown;yes
60;retired;married;secondary;no;-208;yes;no;unknown;15;may;104;1;-1;0;unknown;no
40;self-employed;married;tertiary;no;1126;yes;no;unknown;16;may;22;4;-1;0;unknown;no
27;admin.;single;secondary;no;192;no;no;telephone;28;jul;1076;17;-1;0;unknown;yes
49;services;married;secondary;no;2409;yes;no;cellular;13;may;272;4;293;2;failure;no
40;unemployed;divorced;secondary;no;262;yes;no;unknown;14;may;163;5;-1;0;unknown;no
37;management;married;tertiary;no;1639;yes;no;cellular;4;feb;207;3;272;3;other;no
35;technician;married;tertiary;no;393;no;no;cellular;29;aug;150;2;-1;0;unknown;no
42;blue-collar;married;primary;no;718;no;no;cellular;2;feb;556;2;-1;0;unknown;no
33;student;married;secondary;no;1536;no;no;cellular;9;feb;359;1;92;3;success;yes
34;admin.;married;tertiary;no;2552;yes;yes;cellular;25;sep;74;1;-1;0;unknown;no
50;blue-collar;married;secondary;no;810;yes;no;unknown;14;may;19;14;-1;0;unknown;no
29;admin.;single;secondary;no;65;yes;no;cellular;14;may;9;6;-1;0;unknown;no
52;self-employed;married;primary;no;1750;no;yes;unknown;20;jun;39;5;-1;0;unknown;no
25;blue-collar;single;secondary;no;-187;yes;yes;unknown;27;may;275;4;-1;0;unknown;no
30;management;single;tertiary;no;17036;yes;no;unknown;4;jun;597;7;-1;0;unknown;no
77;retired;married;tertiary;no;0;no;no;cellular;17;aug;286;1;-1;0;unknown;yes
42;technician;divorced;secondary;no;12584;no;no;cellular;19;aug;21;25;-1;0;unknown;no
28;technician;married;secondary;no;58;yes;no;cellular;14;may;16;6;351;1;failure;no
31;blue-collar;married;secondary;no;1787;yes;no;unknown;20;may;201;4;-1;0;unknown;no
37;services;divorced;secondary;no;2152;yes;no;cellular;18;nov;200;1;-1;0;unknown;no
55;admin.;single;secondary;no;2359;yes;no;telephone;20;apr;43;3;-1;0;unknown;no
31;unknown;divorced;tertiary;no;137;no;no;cellular;22;aug;385;9;-1;0;unknown;no
41;admin.;single;unknown;no;419;yes;no;cellular;11;may;442;1;370;3;failure;no
55;blue-collar;married;secondary;no;2854;yes;no;cellular;7;may;312;1;-1;0;unknown;no
39;technician;single;secondary;no;681;yes;no;unknown;5;jun;170;1;-1;0;unknown;no
34;management;married;tertiary;no;0;no;no;cellular;18;aug;431;6;-1;0;unknown;no
28;technician;single;secondary;no;10865;yes;no;unknown;27;may;350;3;-1;0;unknown;no
41;admin.;divorced;secondary;no;-106;yes;no;unknown;2;jun;134;3;-1;0;unknown;no
23;blue-collar;single;primary;no;965;yes;no;unknown;21;may;1161;4;-1;0;unknown;no
40;management;single;primary;no;259;yes;no;cellular;8;may;70;1;-1;0;unknown;no
48;management;married;secondary;no;2204;yes;no;cellular;12;may;45;1;-1;0;unknown;no
30;blue-collar;married;secondary;no;5143;yes;yes;unknown;20;may;236;2;-1;0;unknown;no
49;blue-collar;married;secondary;no;165;no;yes;cellular;25;jul;682;10;-1;0;unknown;no
22;student;single;secondary;no;1522;no;no;cellular;30;oct;368;2;-1;0;unknown;yes
26;unemployed;single;tertiary;no;814;no;no;cellular;28;jan;1387;1;-1;0;unknown;yes
47;technician;married;tertiary;no;1430;yes;no;cellular;24;jul;120;11;-1;0;unknown;no
26;technician;married;secondary;no;18;yes;yes;cellular;5;may;138;1;-1;0;unknown;no
33;blue-collar;married;secondary;no;798;yes;no;cellular;12;may;337;1;-1;0;unknown;no
56;blue-collar;married;primary;no;1798;yes;no;unknown;29;may;228;3;-1;0;unknown;no
62;retired;married;tertiary;no;4692;yes;no;cellular;15;oct;73;1;-1;0;unknown;no
51;management;married;tertiary;no;19313;no;no;telephone;21;nov;36;1;-1;0;unknown;no
35;management;single;tertiary;no;474;yes;yes;cellular;29;jan;372;1;-1;0;unknown;no
41;blue-collar;married;secondary;no;2067;yes;no;cellular;11;may;208;4;325;4;failure;no
56;retired;married;secondary;no;277;no;no;cellular;4;aug;143;1;-1;0;unknown;no
46;unknown;married;unknown;no;2911;no;no;telephone;7;jul;41;9;-1;0;unknown;no
41;technician;married;tertiary;no;816;yes;yes;cellular;13;apr;520;2;319;1;failure;no
33;services;divorced;secondary;no;2;yes;no;unknown;16;may;165;1;-1;0;unknown;no
49;blue-collar;married;primary;no;128;no;no;cellular;12;aug;696;2;-1;0;unknown;yes
44;technician;married;tertiary;no;1707;no;no;cellular;8;aug;406;3;-1;0;unknown;no
56;management;single;tertiary;no;3694;no;no;cellular;25;aug;57;4;-1;0;unknown;no
36;self-employed;married;secondary;no;1006;yes;no;cellular;21;nov;89;2;-1;0;unknown;no
30;admin.;single;secondary;no;270;no;no;cellular;30;apr;437;1;80;1;success;yes
39;management;married;tertiary;no;9579;yes;no;cellular;18;nov;160;3;-1;0;unknown;no
56;admin.;married;secondary;no;0;yes;no;telephone;19;nov;154;2;-1;0;unknown;no
37;management;married;secondary;no;31;no;no;cellular;21;aug;119;4;-1;0;unknown;no
54;blue-collar;married;primary;no;714;no;no;cellular;5;may;225;1;-1;0;unknown;no
55;technician;divorced;secondary;yes;284;yes;no;cellular;7;aug;78;2;-1;0;unknown;no
40;blue-collar;married;secondary;no;3122;yes;no;unknown;12;may;344;3;-1;0;unknown;no
34;technician;single;tertiary;no;23919;no;no;cellular;12;aug;384;2;-1;0;unknown;no
33;blue-collar;married;primary;no;-132;yes;yes;cellular;18;may;170;6;-1;0;unknown;no
30;management;single;tertiary;no;3110;yes;no;unknown;20;may;133;1;-1;0;unknown;no
46;management;married;primary;no;-292;yes;no;telephone;17;nov;100;1;-1;0;unknown;no
33;services;single;secondary;no;100;yes;no;cellular;14;may;11;8;297;7;other;no
46;blue-collar;married;primary;no;881;yes;no;unknown;9;may;126;2;-1;0;unknown;no
57;unemployed;divorced;secondary;no;79;yes;no;unknown;1;mar;60;1;592;2;failure;no
46;technician;married;secondary;no;332;yes;no;unknown;9;may;772;1;-1;0;unknown;yes
57;technician;married;primary;no;3376;yes;no;telephone;2;jun;421;2;-1;0;unknown;yes
55;admin.;married;secondary;no;2430;yes;no;cellular;7;aug;231;2;-1;0;unknown;no
32;management;divorced;tertiary;no;5306;yes;no;unknown;20;may;201;1;-1;0;unknown;no
45;services;married;secondary;no;24;yes;no;cellular;18;jul;111;1;-1;0;unknown;no
41;management;married;tertiary;no;881;no;no;cellular;8;aug;75;2;-1;0;unknown;no
55;technician;married;secondary;no;741;yes;no;unknown;15;may;973;2;-1;0;unknown;no
30;management;married;tertiary;no;4022;no;no;cellular;14;aug;214;2;-1;0;unknown;no
35;technician;divorced;secondary;no;303;yes;yes;unknown;26;may;454;3;-1;0;unknown;no
37;management;married;tertiary;no;7785;yes;no;cellular;17;apr;231;2;-1;0;unknown;no
42;admin.;divorced;secondary;no;-67;no;no;cellular;21;nov;137;2;-1;0;unknown;no
32;self-employed;single;secondary;no;360;yes;no;cellular;9;feb;175;3;259;4;failure;no
37;management;married;tertiary;no;0;no;no;cellular;14;sep;155;1;-1;0;unknown;no
42;management;divorced;secondary;no;317;yes;no;cellular;20;apr;136;3;-1;0;unknown;no
43;unknown;married;primary;no;0;yes;no;cellular;9;jul;132;1;-1;0;unknown;no
55;housemaid;divorced;unknown;no;603;no;no;telephone;31;jul;91;2;-1;0;unknown;no
33;services;single;tertiary;no;1268;yes;no;cellular;6;may;451;1;350;1;other;no
32;technician;single;secondary;no;1165;no;no;cellular;27;aug;19;23;-1;0;unknown;no
55;management;married;tertiary;no;6770;no;no;cellular;27;apr;167;1;-1;0;unknown;no
39;services;married;secondary;no;-762;yes;yes;cellular;8;may;40;6;343;2;failure;no
36;blue-collar;married;secondary;no;959;yes;no;unknown;29;may;200;4;-1;0;unknown;no
33;self-employed;married;tertiary;no;980;no;no;cellular;25;jul;170;3;-1;0;unknown;no
35;blue-collar;married;secondary;no;67;no;no;unknown;20;may;60;6;-1;0;unknown;no
33;services;single;secondary;no;-530;yes;yes;telephone;11;may;168;5;-1;0;unknown;no
50;technician;divorced;unknown;no;2706;yes;no;unknown;28;may;179;3;-1;0;unknown;no
32;technician;single;tertiary;no;-770;yes;no;cellular;18;may;618;1;-1;0;unknown;yes
39;services;married;secondary;no;257;yes;no;unknown;12;jun;171;1;-1;0;unknown;no
36;blue-collar;married;secondary;no;-477;yes;no;cellular;30;jan;473;2;-1;0;unknown;no
28;blue-collar;married;secondary;no;131;yes;no;unknown;12;may;147;5;-1;0;unknown;no
42;blue-collar;single;primary;no;19;yes;no;unknown;7;may;158;1;-1;0;unknown;no
32;management;married;tertiary;no;2044;yes;no;cellular;19;nov;477;1;-1;0;unknown;no
43;housemaid;married;primary;no;18;yes;yes;unknown;15;may;192;3;-1;0;unknown;no
48;services;married;secondary;no;515;yes;no;telephone;20;apr;7;5;-1;0;unknown;no
31;unemployed;single;unknown;no;167;no;no;cellular;20;nov;316;1;-1;0;unknown;no
40;unemployed;single;tertiary;no;79;no;no;cellular;15;oct;570;1;135;1;failure;yes
37;blue-collar;married;primary;no;3242;yes;no;unknown;21;may;233;1;-1;0;unknown;no
47;blue-collar;married;primary;no;4040;no;no;cellular;11;aug;53;5;-1;0;unknown;no
28;self-employed;single;tertiary;no;160;no;no;unknown;11;nov;158;1;-1;0;unknown;yes
34;management;single;tertiary;no;431;no;no;cellular;16;jul;401;1;-1;0;unknown;no
47;management;married;tertiary;no;4693;no;yes;cellular;12;nov;89;1;97;3;success;yes
33;technician;single;tertiary;no;2024;no;no;cellular;12;aug;109;2;-1;0;unknown;no
42;blue-collar;married;secondary;no;3213;no;no;telephone;28;oct;172;1;-1;0;unknown;no
36;blue-collar;single;secondary;no;151;yes;no;cellular;11;may;327;1;-1;0;unknown;no
27;management;single;tertiary;no;2802;yes;no;cellular;18;may;84;1;-1;0;unknown;no
51;self-employed;divorced;secondary;no;1291;yes;no;unknown;3;jun;51;2;-1;0;unknown;no
24;self-employed;single;tertiary;no;91;yes;no;cellular;15;may;134;2;-1;0;unknown;no
36;technician;divorced;secondary;no;556;yes;no;cellular;18;nov;154;3;189;1;failure;no
53;admin.;married;secondary;no;1815;no;no;cellular;29;jul;86;6;-1;0;unknown;no
55;blue-collar;divorced;primary;no;410;no;yes;cellular;11;jul;221;2;-1;0;unknown;no
58;unemployed;single;primary;no;278;no;no;unknown;16;jun;1009;5;-1;0;unknown;no
39;services;married;secondary;no;0;yes;yes;unknown;21;may;240;3;-1;0;unknown;no
45;blue-collar;divorced;secondary;no;-705;no;yes;unknown;3;jul;111;1;-1;0;unknown;no
32;management;single;tertiary;no;3981;yes;no;cellular;15;apr;362;1;271;1;failure;no
31;self-employed;single;tertiary;no;1820;yes;no;unknown;20;may;68;1;-1;0;unknown;no
71;retired;divorced;tertiary;yes;1236;yes;no;cellular;14;sep;335;4;-1;0;unknown;yes
42;services;married;tertiary;no;12223;yes;no;cellular;19;nov;36;1;-1;0;unknown;no
31;management;single;tertiary;no;-173;yes;no;unknown;6;may;396;2;-1;0;unknown;no
36;entrepreneur;married;secondary;no;-280;no;no;unknown;17;aug;6;1;-1;0;unknown;no
66;admin.;married;secondary;no;4041;no;no;cellular;14;jun;713;2;-1;0;unknown;yes
59;blue-collar;married;primary;no;0;yes;yes;cellular;21;aug;140;5;-1;0;unknown;no
53;retired;married;secondary;no;1004;yes;no;unknown;29;may;155;1;-1;0;unknown;no
44;admin.;married;secondary;no;262;yes;no;cellular;9;jul;74;1;-1;0;unknown;no
33;technician;single;secondary;no;2481;no;no;cellular;21;nov;113;1;101;2;failure;no
34;management;married;tertiary;no;6808;yes;no;cellular;21;nov;8;3;-1;0;unknown;no
34;technician;single;tertiary;no;2;yes;no;unknown;13;may;60;2;-1;0;unknown;no
42;technician;married;tertiary;no;14282;yes;no;cellular;17;nov;77;1;103;4;success;no
35;admin.;married;tertiary;no;690;no;no;cellular;16;oct;108;1;-1;0;unknown;no
50;management;married;tertiary;yes;161;no;yes;cellular;18;jul;642;1;-1;0;unknown;no
29;blue-collar;single;secondary;no;9;yes;no;cellular;11;may;262;3;-1;0;unknown;no
47;admin.;single;secondary;no;15;no;no;unknown;12;may;181;4;-1;0;unknown;no
45;technician;single;secondary;no;1171;yes;no;cellular;17;nov;34;1;-1;0;unknown;no
35;services;married;secondary;no;0;yes;no;unknown;5;may;471;1;-1;0;unknown;no
32;services;married;secondary;no;59;yes;yes;unknown;9;may;202;2;-1;0;unknown;no
38;technician;single;tertiary;no;508;yes;yes;cellular;12;aug;1103;2;-1;0;unknown;yes
33;blue-collar;married;secondary;no;-10;yes;no;unknown;6;may;123;1;-1;0;unknown;no
54;housemaid;married;secondary;no;736;yes;no;cellular;16;apr;268;1;331;1;failure;no
38;self-employed;married;secondary;no;29125;no;no;unknown;18;jun;313;2;-1;0;unknown;no
45;management;married;tertiary;no;1186;no;no;cellular;29;aug;25;7;-1;0;unknown;no
42;blue-collar;married;secondary;no;414;yes;no;cellular;17;apr;400;3;-1;0;unknown;no
42;blue-collar;divorced;primary;yes;78;yes;no;cellular;7;may;227;2;-1;0;unknown;no
35;blue-collar;married;secondary;no;120;yes;no;cellular;14;apr;269;3;328;1;failure;no
34;entrepreneur;married;tertiary;no;-28;yes;no;cellular;16;jul;574;1;-1;0;unknown;no
48;blue-collar;married;primary;no;363;yes;no;unknown;18;jun;257;6;-1;0;unknown;no
32;entrepreneur;married;primary;no;795;no;no;cellular;8;aug;131;3;-1;0;unknown;no
37;admin.;single;tertiary;no;1000;yes;no;cellular;15;jun;322;1;90;1;success;yes
59;management;married;tertiary;no;202;yes;no;unknown;3;jun;128;6;-1;0;unknown;no
32;blue-collar;single;primary;no;36;yes;no;cellular;20;nov;290;2;-1;0;unknown;no
35;technician;divorced;secondary;no;0;no;no;cellular;25;aug;124;4;-1;0;unknown;no
51;unemployed;married;secondary;no;-267;no;yes;unknown;19;jun;208;2;-1;0;unknown;no
62;retired;married;secondary;no;816;no;no;cellular;1;sep;28;2;-1;0;unknown;no
49;housemaid;married;secondary;no;81;no;yes;unknown;9;jun;493;2;-1;0;unknown;no
36;blue-collar;married;primary;no;1925;yes;no;cellular;20;apr;904;2;-1;0;unknown;yes
37;services;married;secondary;no;651;no;no;unknown;9;jun;220;2;-1;0;unknown;no
40;self-employed;married;tertiary;no;271;yes;no;cellular;21;nov;124;3;102;4;failure;no
43;blue-collar;married;secondary;no;1127;yes;no;cellular;17;apr;126;3;345;2;other;no
24;blue-collar;married;secondary;no;-389;yes;yes;unknown;4;jun;1242;1;-1;0;unknown;yes
34;blue-collar;married;primary;no;0;no;no;unknown;3;jul;746;4;-1;0;unknown;no
34;management;married;tertiary;no;589;no;no;cellular;19;apr;125;2;-1;0;unknown;yes
36;blue-collar;married;secondary;no;98;yes;no;cellular;12;may;415;1;344;1;failure;no
31;management;single;tertiary;no;358;yes;no;cellular;30;jan;68;3;256;51;failure;no
46;blue-collar;married;secondary;no;1144;yes;no;cellular;8;feb;376;2;129;3;other;yes
57;technician;divorced;secondary;no;3105;yes;no;unknown;14;may;173;11;-1;0;unknown;no
60;retired;divorced;unknown;no;-49;yes;no;cellular;29;jan;188;1;261;2;failure;no
37;technician;married;secondary;no;1016;yes;yes;telephone;12;nov;24;1;-1;0;unknown;no
41;blue-collar;single;primary;no;3237;no;no;cellular;14;may;240;3;363;4;other;no
31;technician;married;unknown;no;14533;no;no;cellular;16;jun;245;2;-1;0;unknown;yes
49;technician;married;secondary;no;0;yes;no;cellular;19;nov;102;2;-1;0;unknown;no
40;technician;married;secondary;no;192;yes;yes;cellular;15;may;16;8;351;5;failure;no
38;technician;single;tertiary;no;0;no;no;cellular;6;aug;89;2;-1;0;unknown;no
45;blue-collar;married;secondary;no;1179;no;no;cellular;21;aug;172;6;-1;0;unknown;no
30;technician;married;tertiary;no;1338;yes;yes;cellular;10;jul;81;6;-1;0;unknown;no
35;blue-collar;single;secondary;no;0;yes;no;cellular;5;feb;155;3;254;1;other;no
29;admin.;married;secondary;no;97;yes;no;cellular;14;jul;136;6;-1;0;unknown;no
49;blue-collar;married;primary;no;287;yes;no;unknown;29;may;155;2;-1;0;unknown;no
36;blue-collar;married;secondary;no;426;yes;no;unknown;2;jun;59;3;-1;0;unknown;no
52;services;married;secondary;no;659;no;no;cellular;28;jan;390;4;93;1;success;yes
31;technician;single;tertiary;no;703;yes;no;unknown;8;may;943;2;-1;0;unknown;yes
50;blue-collar;married;primary;no;334;no;no;cellular;27;aug;79;3;-1;0;unknown;no
41;management;divorced;unknown;no;465;yes;no;cellular;22;jul;1508;1;-1;0;unknown;yes
71;entrepreneur;married;tertiary;no;15265;no;no;cellular;25;feb;865;1;192;2;failure;no
34;management;single;tertiary;no;618;yes;no;unknown;3;jun;119;4;-1;0;unknown;no
57;services;divorced;secondary;no;1024;yes;no;unknown;26;may;360;6;-1;0;unknown;no
44;services;divorced;secondary;no;51;yes;yes;unknown;27;may;3094;2;-1;0;unknown;yes
31;technician;single;tertiary;no;699;yes;no;cellular;15;may;282;4;277;4;failure;no
41;blue-collar;married;unknown;no;31;no;no;unknown;12;may;529;2;-1;0;unknown;no
59;retired;married;tertiary;no;307;no;yes;unknown;11;jun;63;5;-1;0;unknown;no
